,UIDs,SMILES,Kmeans Class,Hierarchal Class
321,2345,c12c3c(c4c(c1ccc1c2cccc1)cccc4)cccc3,2,0
322,2344,c12c3c(ccc1cc1c(c2)cccc1)ccc1c3cccc1,2,0
323,2343,c12c3c(ccc1cc1c(c2)cccc1)cc1c(c3)cccc1,2,0
324,2342,c12c3c(ccc1cc1c(c2)cccc1)c1c(cc3)cccc1,2,0
325,2341,c12c3c(ccc1cc1c(c2)cc2c(c1)cccc2)cccc3,2,0
326,2340,c12c3c(ccc1ccc1c2cccc1)c1c(cc3)cccc1,2,0
327,832,c12c3c(cccc3)c3c(c1cccc2)cc1c(c3)cccc1,2,0
328,307,c1c2c(cc3c1cc1c(c3)cc3c(c1)cccc3)cccc2,2,0
329,305,c1c2c(cc3c1c1c(cc3)cccc1)ccc1c2cccc1,2,0
330,301,c1c2c(cc3c1ccc1c3cccc1)ccc1c2cccc1,2,0
331,356,C1c2c(Cc3c1ccc1c3cccc1)ccc1c2cccc1,2,0
332,3156,c12c3ccc4c1c(cc1c2c2c(c3)cccc2cc1)ccc4,2,0
333,306,c1c2c(cc3c1c1c(cc3)cccc1)ccc1c2cccc1,2,0
334,302,c1c2c(cc3c1ccc1c3cccc1)ccc1c2cccc1,2,0
335,308,c1c2c(cc3c1cc1c(c3)cc3c(c1)cccc3)cccc2,2,0
336,371,C1c2c(Cc3c1ccc1c3cccc1)ccc1c2cccc1,2,0
337,672,c12c(cc3c(c1)cc1c(c3)cccc1)cc1c(c2)cccc1,2,0
338,2384,c12c3[c][c]c4c1c([C]=[C][C@H]2c1c2c3[c][c][c]c2[c][c][c]1)[c][c][c]4,3,2
339,2383,c12[C@H]3c4[c]c5c1c([c][c]c2[c][c]c3[c][c][c]4)[c]c1c5[c][c][c][c]1,3,2
340,2382,c12[C@H]3c4[c]c5c1c([c][c]c2[c][c]c3[c][c][c]4)c1c([c]5)[c][c][c][c]1,3,2
341,2381,c12c3c4[c]c5[C@@H]1c(c1c(c2[c][c]c3[c][c][c]4)[c][c][c][c]1)[c][c][c]5,3,2
342,223,c12c3c4c5c6ccc4cnc3ccc1ccc1c2c5c(cc6)cc1,2,0
343,2339,c12c3c4cc5[C@H]1c(c1c(c2ccc3ccc4)cccc1)ccc5,2,0
344,2338,c12[C@H]3c4cc5c1c(ccc2ccc3ccc4)c1c(c5)cccc1,2,0
345,2337,c12c3c4cc5[C@H]1c(ccc2ccc3ccc4)cc1c5cccc1,2,0
346,2336,c12[C@H]3C=Cc4c1c(ccc2c1c2c3cccc2ccc1)ccc4,2,0
347,226,c12C3c4c5c6ccc4ccn3ccc1ccc1c2c5c(cc6)cc1,2,0
348,229,c12n3c4c5c6ccc4C=C[C@@H]3C=Cc1ccc1c2c5c(cc6)cc1,2,0
349,232,c12n3c4c5c6=CCc7c5c2c(cc7)ccc1ccc3ccc4cc6,2,0
350,231,[C@H]12n3c4c5c6ccc4ccc3=CC=C1C=C[C@@H]1C2=C5[C@@H](C=C6)C=C1,2,0
351,230,c12n3c4c5c6ccc4C=C[C@H]3C=Cc1ccc1c2c5c(cc6)cc1,2,0
352,227,c12c3c4c5c6ccc4ccn3CC=c1ccc1c2c5c(cc6)cc1,2,0
353,224,c12c3c4c5c6ccc4cnc3ccc1ccc1c2c5c(cc6)cc1,2,0
354,228,c12c3c4c5c6ccc4ccn3C=C[C@H]1C=Cc1c2c5c(cc6)cc1,2,0
355,225,c12c3c4c5[C@H]6C=Cc4c[nH]c3ccc1ccc1c2c5c(C=C6)cc1,2,0
356,233,c12n3c4c5c6ccc4C=C[C@@H]3C=Cc1ccc1c2c5c(cc6)cc1,2,0
357,29,c12c3c4c5c6ccc4ccc3ccc1ccc1c2c5c(cc6)cc1,2,0
358,30,c12c3c4c5c6ccc4ccc3ccc1ccc1c2c5c(cc6)C[CH]1,2,0
359,550,c12c3c4c5c(cccc5)c1cccc2c1c(cccc1)c3ccc4,2,0
360,4002,c12c3c4c5c(cccc5)c1cccc2c1c(cccc1)c3ccc4,2,0
361,2395,c12c3[c]c4c(c1[c][c][c]c2[c][c][c]3)[c]c1c2c4[c][c][c]c2[c][c][c]1,3,2
362,2394,c12c3[c]c4c5c1c(=c1c5c5c([c]4)[c][c][c]c5[c][c]1)[c][c]c2[c][c][c]3,3,2
363,2393,c12c3c4c5c6c1c1c([c]c2[c][c][c]3)[c][c][c]c1c6[c][c]c5[c][c][c]4,3,2
364,2392,c12c3c4c5c6c1c(c1c(c2[c][c][c]3)[c][c][c][c]1)c6[c][c]c5[c][c][c]4,3,2
365,2391,c12c3[c][c]c4c1c([c][c]c2c1c([c]3)c2c([c][c]1)[c][c][c][c]2)[c][c][c]4,3,2
